"행정구역별",2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2
"행정구역별",실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％)
"진안군",1.6,0.5,0.2,0.4,0.1,0.5,1.2,0.8,0.9,0.6,0.5,1.3,0.9,0.5,0.1,0.1,0.4,0.4,0.2,0.3,0.4,0.6
"무주군",0.5,0.5,0.5,0.8,1.9,1.0,1.0,1.2,0.3,0.6,0.6,0.8,0.5,0.5,0.2,0.8,0.9,1.1,0.6,0.6,1.4,0.1
"장수군",0.1,0.8,1.1,1.0,0.6,1.1,0.3,0.6,0.5,0.9,0.3,0.5,1.7,0.4,0.1,0.3,1.1,0.3,1.1,0.9,0.5,0.5
"임실군",0.8,1.2,1.4,1.5,1.7,0.8,2.0,1.6,0.8,1.4,1.0,1.3,2.4,0.4,1.9,0.9,1.1,0.4,1.8,1.1,1.6,0.7
"순창군",0.9,1.4,0.5,1.1,1.7,0.9,1.6,1.6,1.2,0.4,1.6,0.4,2.3,0.8,0.2,0.8,2.2,0.9,0.6,1.7,2.4,1.4
"고창군",1.1,1.2,0.7,0.6,0.2,0.1,0.7,0.5,0.2,0.6,0.7,0.3,0.5,0.5,0.9,0.1,0.7,0.8,0.2,0.3,0.2,0.4
"부안군",0.6,1.1,1.0,1.4,0.9,0.3,1.0,0.2,1.3,0.4,1.1,0.2,1.1,0.3,0.8,1.3,0.5,0.4,1.5,0.5,0.7,0.4
"목포시",2.2,2.0,1.8,2.1,3.0,1.8,3.3,2.4,3.0,2.9,1.9,2.4,2.8,1.8,3.2,3.8,3.2,2.3,2.3,1.6,2.7,2.7
"여수시",2.3,2.2,2.9,1.6,2.0,2.0,2.2,2.4,1.9,1.6,2.0,1.1,1.8,1.4,1.4,1.4,1.2,1.6,1.0,1.1,1.1,0.7
"순천시",1.3,2.0,2.5,3.4,3.0,2.5,2.2,1.6,1.4,2.1,2.8,2.2,2.5,2.1,2.5,1.8,3.3,1.8,2.5,1.9,1.5,2.7
"나주시",0.7,2.1,2.3,1.9,3.4,2.8,1.7,2.9,2.4,1.4,2.1,2.5,1.5,0.4,1.5,1.5,2.8,1.9,2.7,1.4,1.8,1.9
"광양시",2.3,2.6,2.2,3.2,3.0,2.6,3.5,3.0,3.8,3.9,3.2,2.0,1.6,1.8,1.0,2.9,2.1,1.3,1.5,2.1,1.5,1.5
"담양군",1.2,0.2,1.1,1.7,2.4,2.7,2.7,2.3,1.5,1.1,1.8,2.5,2.1,1.6,0.3,0.3,1.5,0.6,1.1,1.3,0.7,1.3
"곡성군",1.0,0.1,1.0,0.2,0.6,1.6,1.3,1.1,0.5,0.6,1.0,1.8,0.4,0.4,0.2,0.9,0.8,1.4,0.6,0.9,0.2,1.4
"구례군",0.9,0.9,0.4,0.8,0.7,1.2,1.3,1.4,1.2,1.7,1.4,1.0,1.7,1.1,0.1,0.7,1.4,0.6,0.8,1.7,0.2,1.4
"고흥군",0.3,0.0,0.7,0.2,0.1,1.0,0.1,0.2,0.2,0.2,0.4,0.4,0.3,0.8,0.2,0.3,1.0,0.8,0.3,1.2,0.8,1.1
"보성군",0.4,0.8,0.9,1.4,0.7,0.7,2.4,1.3,0.7,1.3,1.2,0.1,1.7,0.3,0.2,0.6,1.6,0.4,0.4,0.3,0.9,0.6
"화순군",1.6,0.8,2.2,2.7,3.4,3.4,2.7,1.8,1.8,1.9,1.0,1.4,2.4,1.5,2.2,2.0,3.0,2.1,2.3,2.0,1.3,1.3
"장흥군",0.1,0.2,0.0,0.5,0.9,0.8,1.5,1.2,0.6,0.3,0.7,1.3,0.8,0.6,0.6,1.0,0.8,0.7,0.7,0.6,0.2,0.3
"강진군",1.0,0.5,0.4,0.5,0.2,0.0,0.3,0.8,0.8,0.7,0.5,1.0,0.4,0.5,0.8,0.8,0.9,1.3,0.8,1.2,0.7,1.2
"해남군",0.4,0.4,1.0,0.7,0.8,0.9,0.9,0.9,0.7,0.8,0.4,0.9,0.3,0.3,0.3,0.4,0.6,0.4,0.7,0.1,0.9,0.1
"영암군",1.2,1.5,1.0,0.4,1.4,0.8,1.4,1.9,2.3,2.8,1.2,2.1,1.8,1.7,2.8,1.5,2.1,0.5,1.8,1.7,1.3,1.2
"무안군",1.5,1.7,1.0,2.0,2.1,2.3,2.2,1.1,1.9,2.1,1.3,1.7,0.5,0.9,1.9,1.1,1.6,1.2,1.6,1.8,1.0,1.7
"함평군",0.2,0.0,0.8,0.8,1.9,0.7,0.9,0.1,0.4,0.3,0.7,0.6,0.3,0.3,0.6,0.5,1.1,1.0,0.6,0.4,0.4,0.6
"영광군",0.9,1.2,0.2,0.5,1.8,1.4,1.8,0.9,0.8,1.4,0.5,0.7,1.6,0.8,1.1,1.5,0.5,1.2,1.3,1.1,0.3,1.5
"장성군",1.2,1.4,1.0,0.7,1.6,0.4,1.9,0.6,1.3,2.7,2.0,1.1,1.6,1.5,2.1,1.5,1.0,1.9,2.0,1.2,1.0,1.3
"완도군",0.2,0.1,0.1,0.9,0.8,0.1,0.4,1.0,1.0,0.2,1.3,0.1,0.9,0.3,0.6,0.4,0.4,1.0,0.1,1.0,0.2,0.6
"진도군",0.0,0.3,0.1,0.0,0.8,1.0,1.2,0.2,0.1,0.9,1.0,1.6,0.5,0.5,0.7,0.5,0.0,0.3,0.7,0.9,0.1,0.2
"신안군",1.4,0.1,0.0,0.2,0.8,0.0,0.1,0.2,0.2,0.2,0.2,0.0,1.0,0.3,0.1,0.3,0.4,0.2,0.6,0.5,0.5,0.2
"포항시",2.2,1.1,2.2,2.4,1.4,2.5,1.8,1.4,2.6,3.8,2.6,2.8,3.5,2.9,3.5,4.2,3.7,2.5,2.8,3.1,2.5,2.6
"경주시",1.6,0.7,1.6,1.4,1.2,1.7,1.4,1.6,1.9,2.9,1.4,1.9,1.8,2.4,2.7,3.0,2.2,2.6,1.8,2.1,1.8,2.3
"김천시",1.6,1.9,3.4,2.0,2.7,1.7,2.5,3.2,2.2,1.9,2.0,2.8,3.4,2.2,2.9,1.8,2.4,2.0,2.4,2.1,2.7,1.3
"안동시",1.0,0.8,0.8,1.9,2.1,2.2,2.4,1.6,1.9,3.1,2.1,2.1,2.5,2.1,1.8,2.5,3.0,1.3,1.9,0.8,2.0,1.7
"구미시",3.2,4.1,4.8,2.7,4.9,5.2,5.5,3.4,4.3,4.3,5.2,4.6,5.4,4.3,5.4,5.6,4.9,3.4,4.3,3.2,4.6,3.7
"영주시",0.9,1.0,1.7,1.5,2.7,1.7,1.5,1.8,2.3,3.4,2.6,1.6,2.3,1.9,1.3,1.3,2.4,1.9,2.0,1.2,2.8,2.0
"영천시",1.6,1.8,1.9,1.5,1.0,1.4,2.1,2.0,1.1,2.1,1.6,1.4,2.5,1.0,3.0,2.7,1.6,1.9,1.3,1.2,1.4,1.6
"상주시",0.8,0.9,1.3,1.3,1.4,1.8,1.7,1.0,1.0,1.4,2.5,1.5,1.9,2.1,1.1,1.6,1.4,1.2,0.9,1.2,0.9,0.9
"문경시",2.3,1.8,0.6,0.9,2.3,2.0,3.1,1.7,2.3,1.7,3.1,3.0,3.4,2.2,2.4,2.4,3.5,1.2,2.0,1.9,2.3,0.8
"경산시",2.7,2.9,2.7,2.6,2.3,2.7,3.1,3.1,3.2,3.2,3.9,3.3,3.7,4.2,3.7,4.5,3.9,3.1,3.2,2.9,3.3,2.7
"의성군",0.8,0.1,1.2,1.4,0.5,0.9,0.3,0.7,0.7,1.0,1.1,1.0,0.9,0.8,0.9,1.4,0.2,0.3,0.2,0.8,0.2,0.6
"청송군",0.8,0.2,1.1,0.4,0.5,0.6,1.1,0.8,0.8,0.9,1.6,1.3,1.6,1.0,1.0,0.9,0.7,0.3,0.7,0.9,0.2,0.5
"영양군",0.5,0.9,0.5,0.1,0.9,0.3,1.2,1.8,1.3,1.6,0.5,1.1,0.5,1.6,0.5,1.3,1.2,0.9,0.8,0.4,0.3,0.5
"영덕군",0.3,0.2,0.2,0.3,1.9,1.3,0.9,1.1,0.1,1.7,1.2,0.4,0.0,1.3,0.1,0.5,0.5,1.2,0.8,1.2,0.9,0.5
"청도군",1.1,0.3,1.8,1.6,0.9,0.8,0.6,0.5,0.4,0.5,1.0,1.0,0.8,1.1,1.5,2.7,0.8,0.4,0.5,0.5,0.7,0.1
"고령군",3.0,1.2,2.2,1.7,2.0,1.6,1.5,3.5,1.8,2.6,2.8,1.5,2.4,2.4,1.5,2.1,1.6,0.6,1.2,1.3,1.1,1.4
"성주군",0.5,2.5,0.7,1.4,1.1,1.0,1.2,1.4,1.5,1.2,0.8,0.9,2.0,1.2,0.7,1.3,1.1,1.7,0.4,1.9,1.2,0.6
"칠곡군",2.7,3.8,4.0,2.4,3.5,2.9,3.3,3.7,3.2,3.2,4.1,3.4,3.8,3.8,3.2,3.3,3.3,3.1,3.0,2.4,2.2,2.6
"예천군",1.6,0.1,0.8,0.8,1.1,1.2,1.1,0.3,0.2,0.6,1.2,0.8,1.0,0.6,0.1,0.1,0.7,0.9,0.8,0.4,1.1,1.2
"봉화군",0.6,0.3,0.2,0.4,0.7,0.9,1.0,1.5,0.2,0.9,0.4,0.8,0.8,1.2,1.4,0.3,1.0,0.7,0.3,0.9,0.5,0.5
"울진군",0.7,0.5,0.0,0.7,0.9,1.1,1.9,1.5,1.2,1.9,0.3,3.2,1.7,2.3,1.4,2.9,2.2,2.4,1.7,2.0,1.9,2.3
"울릉군",0.2,0.2,0.3,0.8,0.2,0.7,0.2,0.4,1.1,0.0,0.3,0.0,0.1,0.6,0.3,0.3,0.1,0.1,0.1,0.3,0.4,0.2
"진주시",1.8,1.5,2.0,3.0,2.5,1.3,2.2,2.8,2.2,2.5,3.4,2.8,3.3,2.6,3.7,4.7,4.0,3.6,3.1,2.8,3.5,2.9
"통영시",2.5,1.2,1.6,1.7,2.7,2.9,3.3,3.3,3.7,5.8,6.2,6.0,5.9,5.0,3.8,4.8,4.6,4.2,4.4,3.2,4.2,4.6
"사천시",0.9,1.3,1.0,1.7,1.7,1.1,2.8,1.9,2.1,3.2,2.9,2.4,4.2,2.3,3.5,4.8,4.4,3.2,3.5,3.6,2.6,1.8
"김해시",2.2,2.1,2.4,2.4,2.4,2.4,3.7,2.8,3.1,4.1,4.3,3.5,5.4,2.6,5.0,6.2,4.1,4.3,3.8,4.7,2.0,2.2
"밀양시",0.7,0.6,1.8,0.9,2.0,1.3,2.4,1.7,2.0,3.3,2.2,2.1,3.1,3.3,3.0,2.7,2.6,2.7,2.4,1.8,1.3,1.5
"거제시",1.2,1.0,0.4,1.8,1.3,1.6,1.7,2.6,2.9,6.6,7.0,7.1,6.7,4.7,5.0,5.0,4.0,4.5,3.8,4.3,4.3,3.8
"양산시",1.6,2.8,2.2,1.7,2.7,2.5,3.2,2.8,2.3,4.1,4.7,4.4,3.9,3.8,5.1,5.1,3.5,3.7,3.1,4.1,3.0,2.4
"창원시",2.8,2.6,2.8,2.3,3.0,3.1,3.8,3.7,3.5,4.3,3.4,4.0,4.7,3.8,4.1,4.4,3.7,3.9,3.7,3.7,3.3,2.3
"의령군",0.9,1.2,0.1,0.1,0.6,1.0,0.4,0.3,0.5,1.5,0.2,0.2,1.3,0.6,1.9,1.2,0.8,0.1,0.8,0.6,0.6,0.6
"함안군",1.7,1.6,1.4,2.9,3.4,1.6,2.9,1.7,2.2,3.7,2.6,2.4,2.7,2.8,2.1,3.0,2.0,1.9,2.0,2.6,2.2,2.0
"창녕군",0.9,0.7,2.6,1.6,3.3,1.0,1.5,1.5,1.7,3.6,1.3,1.1,2.4,1.1,2.8,1.3,1.6,1.4,0.3,2.6,0.6,0.9
"고성군",1.3,0.4,1.5,0.7,1.8,1.5,1.2,2.5,2.5,4.6,4.9,1.9,1.7,2.9,3.8,3.9,3.3,1.9,3.0,2.6,1.4,2.9
"남해군",2.4,1.2,0.8,1.1,0.3,0.6,0.9,0.5,0.9,2.5,0.6,1.4,1.7,0.7,1.0,2.4,2.2,1.2,1.3,0.6,1.0,1.2
"하동군",1.4,1.3,1.1,1.5,1.1,0.7,0.9,1.7,1.5,0.9,0.4,1.3,0.3,0.7,0.7,1.2,1.8,1.2,0.5,1.8,0.8,1.1
"산청군",0.1,0.3,0.2,0.7,0.5,0.7,1.6,0.3,0.3,2.4,1.5,2.0,2.2,0.3,0.1,1.3,0.9,0.6,0.8,1.8,1.3,1.1
"함양군",1.2,0.4,0.2,0.7,0.8,1.1,1.8,0.7,0.5,0.9,2.1,0.4,0.8,1.3,1.2,1.0,1.1,0.8,0.6,1.6,0.6,0.8
"거창군",1.9,1.5,1.6,1.6,1.1,1.7,2.0,1.7,1.7,2.0,1.3,1.3,1.9,1.4,1.8,2.4,2.2,0.9,0.9,1.3,1.8,1.1
"합천군",0.3,0.4,0.2,0.6,0.5,1.6,0.3,0.6,0.4,1.0,1.1,0.8,1.4,2.0,1.0,1.8,1.0,0.2,0.8,1.0,1.0,0.3
"제주시",2.4,1.7,3.3,2.1,3.4,2.1,2.5,2.1,2.8,2.0,1.6,2.9,2.5,2.1,2.6,3.2,3.0,2.6,2.1,2.4,2.3,1.8
"서귀포시",1.4,0.9,1.3,0.9,1.8,1.7,2.0,1.8,1.6,2.0,1.6,2.5,2.8,1.4,2.7,1.7,1.3,1.3,1.3,1.2,1.5,1.2
