"행정구역별",2013.1/2,2013.2/2,2014.1/2,2014.2/2,2015.1/2,2015.2/2,2016.1/2,2016.2/2,2017.1/2,2017.2/2,2018.1/2,2018.2/2,2019.1/2,2019.2/2,2020.1/2,2020.2/2,2021.1/2,2021.2/2,2022.1/2,2022.2/2,2023.1/2,2023.2/2
"행정구역별",실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％),실업률 (％)
"대구 북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.8,3.3,2.5,3.3,3.5,2.8
"대구 수성구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.0,3.1,2.4,2.2,3.1,2.8
"대구 달서구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.5,3.4,3.2,3.1,2.9,2.3
"대구 달성군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,1.8,2.4,2.2,2.6,1.6
"대구 군위군",0.6,1.4,1.2,1.6,1.2,1.8,1.3,0.6,0.4,1.4,0.5,0.8,0.9,1.0,0.7,2.4,1.5,1.4,0.6,1.0,0.7,1.3
"인천 중구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,4.4,3.6,4.8,3.0,3.5
"인천 동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.4,4.3,4.6,4.6,4.5,6.2
"인천 연수구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.3,4.5,3.3,4.3,4.8,3.8
"인천 남동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.3,4.9,5.1,4.9,4.9,4.3
"인천 부평구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.2,4.8,3.9,4.8,4.8,6.0
"인천 계양구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,4.2,5.0,4.6,5.0,4.2
"인천 서구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.4,4.0,3.7,4.8,4.6,4.7
"인천 미추홀구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.9,4.7,4.3,4.8,4.0,4.8
"인천 강화군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.0,1.2,1.7,2.0,1.2,0.8
"인천 옹진군",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,1.5,1.0,1.5,1.5,1.9
"광주 동구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,2.8,3.2,3.5,3.0,4.4
"광주 서구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.6,2.8,2.6,2.2,2.4,2.1
"광주 남구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.3,3.2,3.0,3.2,2.7,3.6
"광주 북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.1,2.9,2.9,2.3,2.4,2.8
"광주 광산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.8,2.8,3.0,2.7,2.8,3.2
